Image,Area,Mean,X,Y,BX,BY,Width,Height,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Elong.
81-11_layer0.jpg,307200,209.858,320,240,0,0,640,480,0,1.333,0.75,1,0,1,64468229,319.99,234.153,40657.458,20223.795,-21.344,-9.01E-04,0.024,-1.462,-1.245,-0.06,2.69E+16
81-01_layer0.jpg,307200,216.554,320,240,0,0,640,480,0,1.333,0.75,1,0,1,66525304,317.8,235.019,39385.801,20389.735,-569.619,0.027,0.064,-1.414,-1.247,-1.716,2.41E+16
81-10.jpg,307200,210.947,320,240,0,0,640,480,0,1.333,0.75,1,0,1,64802980,315.942,236.024,40097.045,20610.275,534.893,0.054,0.048,-1.429,-1.261,1.571,2.47E+16
80-11.jpg,307200,217.905,320,240,0,0,640,480,0,1.333,0.75,1,0,1,66940305,318.043,241.221,38940.49,20315.239,120.124,0.023,-0.027,-1.389,-1.243,0.37,2.32E+16
80-01.jpg,307200,226.998,320,240,0,0,640,480,0,1.333,0.75,1,0,1,69733831,322.575,245.168,37076.641,19228.743,340.385,-0.033,-0.083,-1.301,-1.154,1.092,2.23E+16
80-09.jpg,307200,206.907,320,240,0,0,640,480,0,1.333,0.75,1,0,1,63561810,321.471,237.528,40530,19786.681,-73.308,-0.019,0.022,-1.439,-1.197,-0.202,2.74E+16
80-10.jpg,307200,209.833,320,240,0,0,640,480,0,1.333,0.75,1,0,1,64460685,314.662,238.217,39543.271,19572.931,-42.909,0.06,-0.013,-1.39,-1.177,-0.123,2.57E+16
80-13.jpg,307200,237.494,320,240,0,0,640,480,0,1.333,0.75,1,0,1,72958305,320.659,238.813,35779.91,18938.889,71.668,-0.012,-0.022,-1.254,-1.185,0.244,2.07E+16
80-12.jpg,307200,223.845,320,240,0,0,640,480,0,1.333,0.75,1,0,1,68765085,319.566,242.584,38017.513,19874.013,114.88,0.004,-0.042,-1.354,-1.212,0.363,2.26E+16
82-10_layer0.jpg,307200,222.753,320,240,0,0,640,480,0,1.333,0.75,1,0,1,68429679,314.089,233.121,38093.403,20402.802,80.361,0.078,0.094,-1.352,-1.249,0.26,2.14E+16
82-11_layer0.jpg,307200,223.637,320,240,0,0,640,480,0,1.333,0.75,1,0,1,68701197,320.664,238.112,38401.4,20437.448,37.937,-0.01,0.016,-1.381,-1.263,0.121,2.22E+16
